id,description
68c402547a7016c5895befbc,"The adidas Originals DROP STEP LOW 2.0 W is a premium choice within the Basketball Lifestyle category, crafted specifically for Female. This model captures the essence of 90s basketball with its chunky silhouette and high-profile collar. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking CWHITE/WONBEI/WARSAN colorway, making it versatile for both casual and street styles. Retailing at 7999, it is currently rated approximately 4 stars. Don't miss out on adding this versatile pair to your collection."
68c403737a7016c5895befc3,"The adidas Originals SAMBA OG is a premium choice within the Terrace/Classic category, crafted specifically for Female. Originally designed for the pitch, this timeless icon features a soft leather upper and the signature T-toe overlay. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking BROWN / PRELOVED RED / CREAM WHITE colorway, making it versatile for both casual and street styles. Retailing at 13999, it currently maintains a solid rating above 4 stars. Don't miss out on adding this versatile pair to your collection."
68c404407a7016c5895befd1,"The adidas Originals SUPERSTAR II is a premium choice within the Court Classic category, crafted specifically for Female. Famous for its rubber shell toe, this shoe started on the basketball court and became a hip-hop legend. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking AURORA PLUM/MATTE SILVER/ASH PURPLE colorway, making it versatile for both casual and street styles. Retailing at 11999, it is currently rated approximately 4 stars. Don't miss out on adding this versatile pair to your collection."
68c4050c7a7016c5895befdd,"The adidas Originals HANDBALL SPEZIAL is a premium choice within the Terrace/Classic category, crafted specifically for Female. A retro classic originally built for indoor sports, loved today for its sleek profile and authentic vintage vibe. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking LUCID PINK/CLOUD WHITE/GOLD METALLIC colorway, making it versatile for both casual and street styles. Retailing at 10999, it has received a super rating above 4.5 stars. Don't miss out on adding this versatile pair to your collection."
68c406367a7016c5895befe6,"The New Balance 327 is a premium choice within the Running Lifestyle category, crafted specifically for Female. Inspired by 70s heritage runners, this shoe features a flared midsole and a rugged lugged outsole for a bold look. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking GREY/PINK colorway, making it versatile for both casual and street styles. Retailing at 9999, it has received a super rating above 4.5 stars. Don't miss out on adding this versatile pair to your collection."
68c406897a7016c5895befed,"The New Balance BB550 is a premium choice within the Basketball Lifestyle category, crafted specifically for Female. A tribute to the 1989 original, this sneaker offers a clean and streamlined look that defines the golden era of hoops. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking WHITE/BLUE colorway, making it versatile for both casual and street styles. Retailing at 12990, it currently maintains a solid rating above 4 stars. Don't miss out on adding this versatile pair to your collection."
68c407627a7016c5895beff4,"The New Balance BB650 is a premium choice within the Basketball Lifestyle category, crafted specifically for Female. The high-top counterpart to the 550, delivering supreme ankle support and a throwback aesthetic. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking RED/WHITE colorway, making it versatile for both casual and street styles. Retailing at 13999, it currently maintains a solid rating above 4 stars. Don't miss out on adding this versatile pair to your collection."
68c407fe7a7016c5895bf000,"The Puma PALERMO CLUB VEGAS LEATHER is a premium choice within the Terrace/Classic category, crafted specifically for Male. Straight from the archives, this terrace legend features a signature tag on the upper and a classic gum sole unit. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking SILVER-GLACIAL GRAY-ORANGE GLO colorway, making it versatile for both casual and street styles. Retailing at 9999, it currently maintains a solid rating above 4 stars. Don't miss out on adding this versatile pair to your collection."
68c408257a7016c5895bf005,"The Puma PALERMO SUPERTIFO is a premium choice within the Terrace/Classic category, crafted specifically for Female. Straight from the archives, this terrace legend features a signature tag on the upper and a classic gum sole unit. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking DARK MYRTLE/MAPLE SYRUP colorway, making it versatile for both casual and street styles. Retailing at 7999, it is currently rated approximately 4 stars. Don't miss out on adding this versatile pair to your collection."
68c408997a7016c5895bf00e,"The Puma MOSTRO PERFORATED is a premium choice within the Terrace/Classic category, crafted specifically for Male. An avant-garde fusion of sprinting spikes and surfing shoes, offering a unique low-profile velcro design. It combines durable materials with a lightweight design for all-day comfort, ensuring it stands up to the demands of modern life. This model features a striking BLACK/WHITE colorway, making it versatile for both casual and street styles. Retailing at 9999, it currently maintains a solid rating above 4 stars. Don't miss out on adding this versatile pair to your collection."
